definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
Kozalak,,pine cone,outside,Kozalak,word,produces,,item_295
Köprü,,bridge,outside,Kopru,word,produces,,item_296
Kum,,sand,outside,Kum,word,produces,,item_297
Odun,,wood,outside,Odun,word,produces,,item_298
Ot,,grass,outside,Ot,word,produces,,item_299
Salıncak,,swing,outside,Salincak,word,produces,,item_300
Sokak,,street,outside,Sokak,word,produces,,item_301
Taş,,stone/rock,outside,Tas,word,produces,,item_302
Tekerlek,,wheel,outside,Tekerlek,word,produces,,item_303
Toprak,,ground/earth,outside,Toprak,word,produces,,item_304
Toz,,dust,outside,Toz,word,produces,,item_305
Trafik,,traffic,outside,Trafik,word,produces,,item_306
Yağmur,,rain,outside,Yagmur,word,produces,,item_307
Yangın,,fire,outside,Yangin,word,produces,,item_308
Yaprak,,leaf,outside,Yaprak,word,produces,,item_309
Yol,,road/path,outside,Yol,word,produces,,item_310
Atta,,outing,places,Atta,word,produces,,item_311
Bakkal,,grocer,places,Bakkal,word,produces,,item_312
Cami,,mosque,places,Cami,word,produces,,item_313
Çarşı,,bazaar/market,places,Carsi,word,produces,,item_314
Dışarı,,outside,places,Disari,word,produces,,item_315
Deniz,,sea,places,Deniz,word,produces,,item_316
Düğün,,wedding,places,Dugun,word,produces,,item_317
Dükkan,,shop/store,places,Dukkan,word,produces,,item_318
Ev,,home/house,places,Ev,word,produces,,item_319
Hastane,,hospital,places,Hastane,word,produces,,item_320
İş,,work,places,Is,word,produces,,item_321
Komşu,,neighbor,places,Komsu,word,produces,,item_322
Köy,,village,places,Koy,word,produces,,item_323
Kreş/Yuva,,daycare center,places,Kres/Yuva,word,produces,,item_324
Maç,,match/game,places,Mac,word,produces,,item_325
Market,,market,places,Market,word,produces,,item_326
Okul,,school,places,Okul,word,produces,,item_327
Orman,,forest,places,Orman,word,produces,,item_328
Park,,park/playground,places,Park,word,produces,,item_329
Pazar,,bazaar/marketplace,places,Pazar,word,produces,,item_330
Piknik,,picnic,places,Piknik,word,produces,,item_331
Plaj,,beach,places,Plaj,word,produces,,item_332
Sinema,,cinema/movie,places,Sinema,word,produces,,item_333
Sirk,,circus,places,Sirk,word,produces,,item_334
Tiyatro,,theater,places,Tiyatro,word,produces,,item_335
Abi,,brother,people,Abi,word,produces,,item_336
Abla,,sister,people,Abla,word,produces,,item_337
Adam,,man,people,Adam,word,produces,,item_338
Amca,,uncle (paternal),people,Amca,word,produces,,item_339
Anne,,mommy/mother,people,Anne,word,produces,,item_340
Anneanne,,grandma/grandmother,people,Anneanne,word,produces,,item_341
Arkadaş,,friend,people,Arkadas,word,produces,,item_342
Asker,,soldier,people,Asker,word,produces,,item_343
Baba,,daddy/father,people,Baba,word,produces,,item_344
Babaanne,,grandma/grandmother,people,Babaanne,word,produces,,item_345
Bebek (person),,baby,people,Bebek,word,produces,,item_346
Berber/Kuaför,,hair dresser,people,Berber/Kuafor,word,produces,,item_347
Çocuk,,child,people,Cocuk,word,produces,,item_348
Dede,,grandpa/grandfather,people,Dede,word,produces,,item_349
Doktor,,doctor,people,Doktor,word,produces,,item_350
Erkek,,male/man,people,Erkek,word,produces,,item_351
Gelin,,bride,people,Gelin,word,produces,,item_352
Hala,,aunt (paternal),people,Hala,word,produces,,item_353
Kadın,,woman,people,Kadin,word,produces,,item_354
Kardeş,,sibling,people,Kardes,word,produces,,item_355
Kendi ismi,,child´s own name,people,Kendi_ismi,word,produces,,item_356
Kız,,girl,people,Kiz,word,produces,,item_357
Kral,,king,people,Kral,word,produces,,item_358
