itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_224,Kühlschrank,refrigerator,furniture_rooms,Kuhlschrank,word,produces,,refrigerator
item_225,Badezimmer,bathroom,furniture_rooms,Badezimmer,word,produces,,bathroom
item_226,Garage,garage,furniture_rooms,Garage,word,produces,,garage
item_227,Schlafzimmer,bedroom,furniture_rooms,Schlafzimmer,word,produces,,bedroom
item_228,Wohnzimmer,living room,furniture_rooms,Wohnzimmer,word,produces,,living room
item_229,Herd,oven,furniture_rooms,Herd,word,produces,,stove
item_230,Tisch,table,furniture_rooms,Tisch,word,produces,,table
item_231,Fernseher,television,furniture_rooms,Fernseher,word,produces,,tv
item_232,Waschmaschine,washing machine,furniture_rooms,Waschmaschine,word,produces,,washing machine
item_233,Fenster,window,furniture_rooms,Fenster,word,produces,,window
item_234,Zimmer,room,furniture_rooms,Zimmer,word,produces,,room
item_235,Dusche,shower,furniture_rooms,Dusche,word,produces,,shower
item_236,Spüle,sink,furniture_rooms,Spule,word,produces,,sink
item_237,Sofa,sofa,furniture_rooms,Sofa,word,produces,,couch
item_238,Treppe,stairs,furniture_rooms,Treppe,word,produces,,stairs
item_239,Heizung,heating,furniture_rooms,Heizung,word,produces,,
item_240,Sessel,armchair,furniture_rooms,Sessel,word,produces,,armchair
item_241,Tür,door,furniture_rooms,Tur,word,produces,,door
item_242,Sterne,stars,outside,Sterne,word,produces,,
item_243,Wolke,cloud,outside,Wolke,word,produces,,cloud
item_244,Fahne,flag,outside,Fahne,word,produces,,
item_245,Sandkasten,sandpit,outside,Sandkasten,word,produces,,
item_246,Schaufel,shovel,outside,Schaufel,word,produces,,shovel
item_247,Himmel,sky,outside,Himmel,word,produces,,sky
item_248,Rutsche,slide,outside,Rutsche,word,produces,,slide (object)
item_249,Schnee,snow,outside,Schnee,word,produces,,snow
item_250,Schneemann,snowman,outside,Schneemann,word,produces,,
item_251,Regen,rain,outside,Regen,word,produces,,rain
item_252,Stein,stone,outside,Stein,word,produces,,stone
item_253,Dach,roof,outside,Dach,word,produces,,roof
item_254,Straße,street,outside,Strasse,word,produces,,street
item_255,Sonne,sun,outside,Sonne,word,produces,,sun
item_256,Schaukel,swing,outside,Schaukel,word,produces,,swing (object)
item_257,Baum,tree,outside,Baum,word,produces,,tree
item_258,Bahnhof,station,outside,Bahnhof,word,produces,,
item_259,Wind,wind,outside,Wind,word,produces,,wind
item_260,Teich,pond,outside,Teich,word,produces,,
item_261,Autobahn,motorway,outside,Autobahn,word,produces,,
item_262,Hof,yard,outside,Hof,word,produces,,yard
item_263,Stock,stick,outside,Stock,word,produces,,stick
item_264,Blume,flower,outside,Blume,word,produces,,flower
item_265,Garten,garden,outside,Garten,word,produces,,garden
item_266,Gras,grass,outside,Gras,word,produces,,grass
item_267,Schlauch,hose,outside,Schlauch,word,produces,,
item_268,Leiter,ladder,outside,Leiter,word,produces,,ladder
item_269,Rasenmäher,lawnmower,outside,Rasenmaher,word,produces,,
item_270,Mond,moon,outside,Mond,word,produces,,moon
item_271,Strand,beach,places,Strand,word,produces,,beach
item_272,Kirche,church,places,Kirche,word,produces,,church
item_273,Zirkus,circus,places,Zirkus,word,produces,,
item_274,Land,country,places,Land,word,produces,,country
item_275,Feier,party,places,Feier,word,produces,,party
item_276,Picknick,picnic,places,Picknick,word,produces,,
item_277,nach Hause,home,places,nach_Hause,word,produces,,home
