"itemID","item","type","category","choices","definition","gloss","complexity_category","uni_lemma"
"item_288","F26_WINDOW","word","furniture_rooms","produces","παράθυρο","window",,
"item_289","F27_PARKIN","word","furniture_rooms","produces","πάρκινγκ","parking",,
"item_290","F28_WASHIN","word","furniture_rooms","produces","πλυντήριο","washing machine",,
"item_291","F29_ARMCHA","word","furniture_rooms","produces","πολυθρόνα","armchair",,
"item_292","F30_DOOR","word","furniture_rooms","produces","πόρτα","door",,
"item_293","F31_BOUNCE_CG","word","furniture_rooms","produces","ριλάξ","bouncer CG",,
"item_294","F32_SEATIN","word","furniture_rooms","produces","σαλόνι","seating room",,
"item_295","F33_STAIRC","word","furniture_rooms","produces","σκάλα","staircase",,
"item_296","F34_HEATER","word","furniture_rooms","produces","σόμπα","heater",,
"item_297","F35_DRAWER","word","furniture_rooms","produces","συρτάρι","drawer",,
"item_298","F36_ROOFTO","word","furniture_rooms","produces","ταράτσα","rooftop",,
"item_299","F37_TELEVI","word","furniture_rooms","produces","τηλεόραση","television",,
"item_300","F38_TABLE","word","furniture_rooms","produces","τραπέζι","table",,
"item_301","F39_BASEME","word","furniture_rooms","produces","υπόγειο","basement",,
"item_302","F40_OVEN","word","furniture_rooms","produces","φούρνος","oven",,
"item_303","C1_PANTIES","word","clothing","produces","βρακί","panties",,
"item_304","C2_GLOVES","word","clothing","produces","γάντια","gloves",,
"item_305","C3_GLASSES","word","clothing","produces","γυαλιά","glasses",,
"item_306","C4_CARDIGA","word","clothing","produces","ζακέτα","cardigan",,
"item_307","C5_BELT","word","clothing","produces","ζώνη","belt",,
"item_308","C6_STOCKIN","word","clothing","produces","καλσόν","stockings",,
"item_309","C7_SOCKS","word","clothing","produces","κάλτσες","socks",,
"item_310","C8_HAT","word","clothing","produces","καπέλο","hat",,
"item_311","C9_NEKLACE","word","clothing","produces","κολιέ","neklace",,
"item_312","C10_BODYSU_CG","word","clothing","produces","κορμάκι","bodysuit CG",,
"item_313","C11_BUTTON","word","clothing","produces","κουμπί","button",,
"item_314","C12_SWIMSU","word","clothing","produces","μαγιό","swimsuit",,
"item_315","C13_BIKINI","word","clothing","produces","μπικίνι","bikini",,
"item_316","C14_T-SHIR","word","clothing","produces","μπλούζα","t-shirt/blouse",,
"item_317","C15_BOOT","word","clothing","produces","μπότα","boot",,
"item_318","C16_JACKET","word","clothing","produces","μπουφάν","jacket",,
"item_319","C17_SLIPPE","word","clothing","produces","παντόφλα","slipper",,
"item_320","C18_SHOE","word","clothing","produces","παπούτσι","shoe",,
"item_321","C19_BIB_CG_CG","word","clothing","produces","ποθκιά","bib CG",,
"item_322","C20_SHIRT","word","clothing","produces","πουκάμισο","shirt",,
"item_323","C21_PULLOV","word","clothing","produces","πουλόβερ","pullover",,
"item_324","C22_PYJAMA","word","clothing","produces","πυτζάμες","pyjamas",,
"item_325","C23_FLIP_F","word","clothing","produces","σαγιονάρες","flip flops",,
"item_326","C24_JACKET_CG","word","clothing","produces","σακάκι","jacket CG",,
"item_327","C25_BIB","word","clothing","produces","σαλιαρίτσα","bib",,
"item_328","C26_SYRUP","word","clothing","produces","σκούφος","syrup",,
"item_329","C27_JEANS","word","clothing","produces","τζην","jeans",,
"item_330","C28_PULLOV_CG","word","clothing","produces","τρικό","pullover CG",,
"item_331","C29_T-SHIR","word","clothing","produces","φανέλα","t-shirt",,
"item_332","C30_ZIP","word","clothing","produces","φερμουάρ","zip",,
"item_333","C31_FLIP_F_CG","word","clothing","produces","φλι φλο","flip flops CG",,
"item_334","C32_DRESS","word","clothing","produces","φόρεμα","dress",,
"item_335","C33_BODYSU","word","clothing","produces","φορμάκι","bodysuit",,
"item_336","C34_TRAINI","word","clothing","produces","φόρμα","training trousers",,
"item_337","OT1_WIND","word","outside","produces","αέρας","wind",,
"item_338","OT2_SAND","word","outside","produces","άμμος","sand",,
"item_339","OT3_STAR","word","outside","produces","αστέρι","star",,
"item_340","OT4_ROCK","word","outside","produces","βράχος","rock",,
"item_341","OT5_RAIN","word","outside","produces","βροχή","rain",,
"item_342","OT6_GRASS","word","outside","produces","γρασίδι","grass",,
"item_343","OT7_TREE","word","outside","produces","δέντρο","tree",,
"item_344","OT8_ROAD","word","outside","produces","δρόμος","road",,
"item_345","OT9_SUN","word","outside","produces","ήλιος","sun",,
"item_346","OT10_SLIDE_CG","word","outside","produces","κατρατζύλι","slide CG",,
"item_347","OT11_BEACH","word","outside","produces","κουβαδάκια","beach toys",,
"item_348","OT12_SWING","word","outside","produces","κούνια","swing",,
"item_349","OT13_HOSE","word","outside","produces","λάστιχο","hose",,
"item_350","OT14_FLOWE","word","outside","produces","λουλούδι","flower",,
"item_351","OT15_WATER","word","outside","produces","νερό","water",,
"item_352","OT16_UMBRE","word","outside","produces","ομπρέλα","umbrella",,
"item_353","OT17_SKY","word","outside","produces","ουρανός","sky",,
"item_354","OT18_RAINB","word","outside","produces","ουράνιο τόξο","rainbow",,
"item_355","OT19_PAVEM","word","outside","produces","πεζοδρόμιο","pavement",,
"item_356","OT20_STONE","word","outside","produces","πέτρα","stone",,
"item_357","OT21_WATER","word","outside","produces","ποτιστήρι","watering can",,
"item_358","OT22_FLAG","word","outside","produces","σημαία","flag",,
"item_359","OT23_SWING_CG","word","outside","produces","σούσα","swing CG",,
"item_360","OT24_HOUSE","word","outside","produces","σπίτι","house",,
"item_361","OT25_CLOUD","word","outside","produces","σύννεφο","cloud",,
"item_362","OT26_LIFE_","word","outside","produces","σωσίβιο","life vest",,
"item_363","OT27_WALL","word","outside","produces","τοίχος","wall",,
"item_364","OT28_SEESA","word","outside","produces","τραμπάλα","seesaw",,
