field,column,group,type
item_516,Fixe,item,word
item_517,Fofo,item,word
item_518,Frio,item,word
item_519,Giro,item,word
item_520,Gordo,item,word
item_521,Grande,item,word
item_522,Limpo,item,word
item_523,Lindo,item,word
item_524,Malandro,item,word
item_525,Maluco,item,word
item_526,Mau,item,word
item_527,Novo,item,word
item_528,Partido,item,word
item_529,Pequeno,item,word
item_530,Preto,item,word
item_531,Quente,item,word
item_532,Querido,item,word
item_533,Quieto,item,word
item_534,Rasgado,item,word
item_535,Roxo,item,word
item_536,Sujo,item,word
item_537,Tolo,item,word
item_538,Triste,item,word
item_539,Vazio,item,word
item_540,Verde,item,word
item_541,Vermelho,item,word
item_542,Agora,item,word
item_543,Amanhã,item,word
item_544,Depois,item,word
item_545,Dia,item,word
item_546,Hoje,item,word
item_547,Horas,item,word
item_548,Já,item,word
item_549,Logo,item,word
item_550,Manhã,item,word
item_551,Noite,item,word
item_552,Tarde,item,word
item_553,Aquele,item,word
item_554,Aquilo,item,word
item_555,Comigo,item,word
item_556,Contigo,item,word
item_557,Desse,item,word
item_558,Ele,item,word
item_559,Esse,item,word
item_560,Este,item,word
item_561,Eu,item,word
item_562,Isso,item,word
item_563,Isto,item,word
item_564,Me,item,word
item_565,Meu,item,word
item_566,Mim,item,word
item_567,Minha,item,word
item_568,Nosso,item,word
item_569,Outro,item,word
item_570,Teu,item,word
item_571,Ti,item,word
item_572,Tu,item,word
item_573,Tua,item,word
item_574,Aonde,item,word
item_575,Como,item,word
item_576,Onde,item,word
item_577,Onde_está,item,word
item_578,O_quê,item,word
item_579,O_que_é,item,word
item_580,O_que_é_isto,item,word
item_581,Porquê,item,word
item_582,Quando,item,word
item_583,Qual,item,word
item_584,Que_foi,item,word
