itemID,item,type,category_ja,category,definition,definition_ja2,gloss,uni_lemma
item_206,I15,word,小さな家庭用品,household,スプーン,Supuun,Spoon,spoon
item_207,I16,word,小さな家庭用品,household,スリッパ,Surippa,Slippers,slipper
item_208,I17,word,小さな家庭用品,household,石鹸,Sekken,Soap,soap
item_209,I18,word,小さな家庭用品,household,そうじ機,Soujiki,Vacuum_cleaner,vacuum cleaner
item_210,I19,word,小さな家庭用品,household,タオル,Taoru,Towel,towel
item_211,I20,word,小さな家庭用品,household,茶わん,Chawan,Bowl,bowl
item_212,I21,word,小さな家庭用品,household,ティッシュ,Tissyu,Tissue,tissue
item_213,I22,word,小さな家庭用品,household,電池,Denchi,Battery,battery
item_214,I23,word,小さな家庭用品,household,でんわ,Denwa,Phone,telephone
item_215,I24,word,小さな家庭用品,household,時計,Tokei,Clock,clock
item_216,I25,word,小さな家庭用品,household,バケツ,Baketsu,Bucket,bucket
item_217,I26,word,小さな家庭用品,household,はこ,Hako,Box,box
item_218,I27,word,小さな家庭用品,household,はさみ,Hasami,Scissors,scissors
item_219,I28,word,小さな家庭用品,household,はし,Hashi,Chopsticks,chopstick
item_220,I29,word,小さな家庭用品,household,ハンカチ,Hankachi,Handkerchief,handkerchief
item_221,I30,word,小さな家庭用品,household,歯ブラシ,Haburashi,Toothbrush,toothbrush
item_222,I31,word,小さな家庭用品,household,フォーク,Fwooku,Fork,fork
item_223,I32,word,小さな家庭用品,household,ふとん,Futon,Futon,
item_224,I33,word,小さな家庭用品,household,ほうき,Houki,Broom,broom
item_225,I34,word,小さな家庭用品,household,枕,Makura,Pillow,pillow
item_226,I35,word,小さな家庭用品,household,めがね,Megane,Glasses,glasses
item_227,I36,word,小さな家庭用品,household,毛布,Moufu,Blanket,blanket
item_228,J1,word,戸外の物と場所,outside,雨,Ame,Rain,rain
item_229,J2,word,戸外の物と場所,outside,家,Ie,House,house
item_230,J3,word,戸外の物と場所,outside,海,Umi,Sea,sea
item_231,J4,word,戸外の物と場所,outside,おうち,Ouchi,House,house
item_232,J5,word,戸外の物と場所,outside,お仕事,Oshigoto,Job,work (place)
item_233,J6,word,戸外の物と場所,outside,おそと,Osoto,Outside,outside
