itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category,
item_277,tapete,word,household,produces,Tapete,,,,Tapete
item_278,telefone,word,household,produces,Telefone,,,,Telefone
item_279,telemovel,word,household,produces,Telemóvel,,,,Telemóvel
item_280,tesoura,word,household,produces,Tesoura(s),,,,Tesoura
item_281,toalha,word,household,produces,Toalha,,,,Toalha
item_282,torneira,word,household,produces,Torneira,,,,Torneira
item_283,velas,word,household,produces,Velas,,,,Velas
item_284,armario,word,furniture_rooms,produces,Armário,,,,Armário
item_285,banco,word,furniture_rooms,produces,Banco,,,,Banco
item_286,cadeira,word,furniture_rooms,produces,Cadeira,,,,Cadeira
item_287,cama,word,furniture_rooms,produces,Cama,,,,Cama
item_288,campainha,word,furniture_rooms,produces,Campainha,,,,Campainha
item_289,casa_banho,word,furniture_rooms,produces,Casa / quarto de banho,,,,Casa_banho
item_290,chamine,word,furniture_rooms,produces,Chaminé,,,,Chaminé
item_291,chao,word,furniture_rooms,produces,Chão / soalho,,,,Chão
item_292,cozinha_mo,word,furniture_rooms,produces,Cozinha,,,,Cozinha_Mo
item_293,escadas,word,furniture_rooms,produces,Escadas,,,,Escadas
item_294,espelho,word,furniture_rooms,produces,Espelho,,,,Espelho
item_295,estante,word,furniture_rooms,produces,Estante,,,,Estante
item_296,frigorifico,word,furniture_rooms,produces,Frigorífico,,,,Frigorífico
item_297,garagem,word,furniture_rooms,produces,Garagem,,,,Garagem
item_298,janela,word,furniture_rooms,produces,Janela,,,,Janela
item_299,jardim,word,furniture_rooms,produces,Jardim,,,,Jardim
item_300,lareira,word,furniture_rooms,produces,Lareira,,,,Lareira
item_301,mesa,word,furniture_rooms,produces,Mesa,,,,Mesa
item_302,parede,word,furniture_rooms,produces,Parade,,,,Parede
item_303,porta,word,furniture_rooms,produces,Porta,,,,Porta
item_304,portao,word,furniture_rooms,produces,Portão,,,,Portão
item_305,quarto,word,furniture_rooms,produces,Quarto,,,,Quarto
item_306,sala,word,furniture_rooms,produces,Sala,,,,Sala
item_307,sanita,word,furniture_rooms,produces,Sanita / retrete,,,,Sanita
item_308,sofa,word,furniture_rooms,produces,Sofá,,,,Sofá
item_309,televisao,word,furniture_rooms,produces,Televisão,,,,Televisão
item_310,areia,word,outside,produces,Areia,,,,Areia
item_311,arvore,word,outside,produces,Árvore(s),,,,Árvore
item_312,baloico,word,outside,produces,Baloiço,,,,Baloiço
item_313,ceu,word,outside,produces,Céu,,,,Céu
item_314,chuva,word,outside,produces,Chuva,,,,Chuva
item_315,erva,word,outside,produces,Erva,,,,Erva
item_316,escorrega,word,outside,produces,Escorrega,,,,Escorrega
item_317,estrela,word,outside,produces,Estrela,,,,Estrela
item_318,flores,word,outside,produces,Flor(es),,,,Flores
