"definition","uni_lemma","gloss","category","item","type","choices","complexity_category","itemID"
"crtati",,"draw","action_words","crtati","word","produces",,"item_406"
"čekati",,"wait","action_words","cekati","word","produces",,"item_407"
"čistiti",,"clean","action_words","cistiti","word","produces",,"item_408"
"čitati",,"read","action_words","citati","word","produces",,"item_409"
"čuti",,"hear","action_words","cuti","word","produces",,"item_410"
"dati",,"give","action_words","dati","word","produces",,"item_411"
"dignuti",,"pick","action_words","dignuti","word","produces",,"item_412"
"dirati",,"touch","action_words","dirati","word","produces",,"item_413"
"dobiti",,"get","action_words","dobiti","word","produces",,"item_414"
"donijeti",,"bring","action_words","donijeti","word","produces",,"item_415"
"držati",,"hold","action_words","drzati","word","produces",,"item_416"
"gledati",,"watch","action_words","gledati","word","produces",,"item_417"
"govoriti",,"talk","action_words","govoriti","word","produces",,"item_418"
"gristi",,"bite","action_words","gristi","word","produces",,"item_419"
"gurati",,"push","action_words","gurati","word","produces",,"item_420"
"hodati",,"walk","action_words","hodati","word","produces",,"item_421"
"hraniti",,"feed","action_words","hraniti","word","produces",,"item_422"
"htjeti",,"want","action_words","htjeti","word","produces",,"item_423"
"ići",,"go","action_words","ici","word","produces",,"item_424"
"igrati se",,"play","action_words","igrati_se_","word","produces",,"item_425"
"imati",,"have","action_words","imati","word","produces",,"item_426"
"ispustiti",,"drop","action_words","ispustiti","word","produces",,"item_427"
"jahati",,"ride","action_words","jahati","word","produces",,"item_428"
"jesti",,"eat","action_words","jesti","word","produces",,"item_429"
"kazati",,"say","action_words","kazati","word","produces",,"item_430"
"klizati",,"slide","action_words","klizati","word","produces",,"item_431"
"kucati",,"knock","action_words","kucati","word","produces",,"item_432"
"kuhati",,"cook","action_words","kuhati","word","produces",,"item_433"
"kupiti",,"buy","action_words","kupiti","word","produces",,"item_434"
